
Data: 2019-04-09 21:13:20.690395
Valore accelerometro, giroscopio e magnetometro: 335D92FF7BFF0B0403000900020032FE8D00ACFE
		Timestamp: 23859
		Accx: -110
		Accy: -133
		Accz: 1035
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -462
		Magny: 141
		Magnz: -340
Valore accelerometro, giroscopio e magnetometro: 395D91FF7CFF0A040300090003002BFE8800ADFE
		Timestamp: 23865
		Accx: -111
		Accy: -132
		Accz: 1034
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -469
		Magny: 136
		Magnz: -339
Valore temperatura e pressione: 3F5DED860100ED00
		Timestamp: 23871
		Pressione: 1000.77 mbar
		Temperatura: 23.7 °C
Valore accelerometro, giroscopio e magnetometro: 405D91FF7BFF070403000900030029FE8B00ADFE
		Timestamp: 23872
		Accx: -111
		Accy: -133
		Accz: 1031
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -471
		Magny: 139
		Magnz: -339
Valore accelerometro, giroscopio e magnetometro: 465D91FF7BFF080402000900030028FE8500B0FE
		Timestamp: 23878
		Accx: -111
		Accy: -133
		Accz: 1032
		Gyrx: 0.2
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -472
		Magny: 133
		Magnz: -336
Valore accelerometro, giroscopio e magnetometro: 4C5D91FF7BFF090403000A0002002FFE8700ACFE
		Timestamp: 23884
		Accx: -111
		Accy: -133
		Accz: 1033
		Gyrx: 0.3
		Gyry: 1.0
		Gyrz: 0.2
		Magnx: -465
		Magny: 135
		Magnz: -340
Valore accelerometro, giroscopio e magnetometro: 525D90FF7CFF080404000900030034FE8A00AAFE
		Timestamp: 23890
		Accx: -112
		Accy: -132
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -460
		Magny: 138
		Magnz: -342
Valore accelerometro, giroscopio e magnetometro: 595D91FF7BFF09040400090003002CFE8700B2FE
		Timestamp: 23897
